Main idea,Questions,Self assessment,Claim/Evidence
Q5 - How you support your software,5.1: Does your software describe how a user can get help with using your software?,3,Everything is explained in the documentation
,"5.2: Does your website and documentation describe what support, if any, you provide to users and developers?",3,All the files are available on Git
,5.3: Does your project have an e-mail address or forum that is solely for supporting users?,3,csc510project21@gmail.com
,5.4: Are e-mails to your support e-mail address received by more than one person?,3,There are 5 contributors listed
,5.5: Does your project have a ticketing system to manage bug reports and feature requests?,1,Did not find any ticketing system
,"5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",1,
Q6 - Your software's maintainability,6.1: Is your software’s architecture and design modular?,3,The software is divided as login info and tasks
,6.2: Does your software use an accepted coding standard or convention?,3,
Q7 - Open standards and your software,"7.1: Does your software allow data to be imported and exported using open data formats?*e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",3,https://github.com/umagnanasundaram2128/SimplyClip.git
,"7.2: Does your software allow communications using open communications protocols?*e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",3,It is using http which is an open communication protocol
Q8 - Your software's portability,"8.1: Is your software cross-platform compatible?*e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",3,We tried running it on both Windows and Mac 
Q9 - Your software and accessibility,9.1: Does your software adhere to appropriate accessibility conventions or standards?,3,
,9.2: Does your documentation adhere to appropriate accessibility conventions or standards?,3,
Q10 - How you manage your source code,10.1: Is your source code stored in a repository under revision control?,Yes,
,10.2: Is each source code release a snapshot of the repository?,No,
,10.3: Are releases tagged in the repository?,No,
,"10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",No,
,10.5: Do you back-up your repository?,No,
Q11 - Building and installing your software,11.1: Do you provide publicly-available instructions for building your software from the source code?,Yes,https://github.com/umagnanasundaram2128/SimplyClip/tree/main#gear-add-simplyclip-to-google-chrome
,"11.2: Can you build, or package, your software using an automated tool?*e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",No,
,11.3: Do you provide publicly-available instructions for deploying your software?,Yes,
,11.4: Does your documentation list all third-party dependencies?,Yes,
,11.5: Does your documentation list the version number for all third-party dependencies?,No,
,"11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",No,
,"11.7: Can you download dependencies using a dependency management tool or package manager?*e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)(https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer ",No,
,11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,https://github.com/umagnanasundaram2128/SimplyClip/tree/main/test
Q12 - How you test your software,12.1: Do you have an automated test suite for your software?*,Yes,They added Selenium automated tests
,12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,Yes,
,"12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,
,12.4: Are your test results publicly visible?*,Yes,
,12.5: Are all manually-run tests documented?,Yes,
Q13 - How you engage with your community,"13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?*",No,Found no link to any Blogs or Social Media
,"e.g. release announcements, publications, workshops, conference presentations",,
,13.2: Does your website state how many projects and users are associated with your project?,No,It is just a Chrome extension application
,13.3: Do you provide success stories on your website?,No,
,13.4: Do you list your important partners and collaborators on your website?,No,
,13.5: Do you list your project's publications on your website or link to a resource where these are available?,No,
,13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
,13.7: Can users subscribe to notifications to changes to your source code repository?,Yes,
,"13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",No,couldn't find any governance model
Q14 - How you manage contributions,"4.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,https://github.com/umagnanasundaram2128/SimplyClip/blob/main/CONTRIBUTING.md#contributing-to-simplyclip-application
,14.2: Do you have a contributions policy?,Yes,https://github.com/umagnanasundaram2128/SimplyClip/blob/main/CONTRIBUTING.md
,14.3: Is your contributions' policy publicly available?,Yes,
,14.4: Do contributors keep the copyright/IP of their contributions?,Yes,https://github.com/umagnanasundaram2128/SimplyClip/blob/main/LICENSE
Q15 - Your software's copyright and licensing,15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,
,15.2: Does each of your source code files include a copyright statement?*,Yes,MIT LICENSE is mentioned in the src
,15.3: Does your website and documentation clearly state the licence of your software?*,Yes,mentioned in documentation but no website
,15.4: Is your software released under an open source licence?*,Yes,
,15.5: Is your software released under an OSI-approved open-source licence?,Yes,It has MIT License
,15.6: Does each of your source code files include a licence header?*,Yes,
,15.7: Do you have a recommended citation for your software?*,Yes,https://github.com/umagnanasundaram2128/SimplyClip/blob/main/CITATION.md
Q16 - Your plans for the future,"16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",No,
,"16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
,"16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
